total_plays,card_set,game_date
8,TEMP1,20/08/2017
"287,425",INVALID,24/08/2017
"8,325,279",CORE,26/08/2017
"3,864,959",UNGORO,28/08/2017
"241,842",INVALID,30/08/2017
"3,254,997",GANGS,31/08/2017
"3,781,482",GANGS,1/09/2017
"5,326,212",EXPERT1,11/09/2017
"4,303,353",EXPERT1,14/09/2017
"3,128,992",GANGS,15/09/2017
"1,473,548",OG,17/09/2017
"4,798,810",ICECROWN,23/09/2017
"932,239",HERO_SKINS,24/09/2017
"803,477",HERO_SKINS,27/09/2017
"1,005,439",HERO_SKINS,1/10/2017
"526,636",ICECROWN,2/10/2017
"1,337,786",KARA,4/10/2017
"2,952,339",GANGS,6/10/2017
"5,304,366",EXPERT1,7/10/2017
"1,265,083",OG,8/10/2017
"494,665",HERO_SKINS,18/10/2017
3,TEMP1,19/10/2017
"4,534,682",EXPERT1,22/10/2017
5,LOE,31/10/2017
"3,884,792",ICECROWN,5/11/2017
"582,085",HERO_SKINS,9/11/2017
"910,285",OG,10/11/2017
"174,098",INVALID,13/11/2017
"176,520",INVALID,20/11/2017
"173,122",INVALID,25/11/2017
"3,500,291",ICECROWN,26/11/2017
"842,852",KARA,28/11/2017
"2,034,678",GANGS,29/11/2017
"1,013,271",OG,2/12/2017
5,TEMP1,4/12/2017
11,LOE,4/12/2017
"8,934,717",CORE,9/12/2017
"235,277",INVALID,9/12/2017
"3,206,361",UNGORO,9/12/2017
"2,486,154",UNGORO,15/12/2017
"753,606",HERO_SKINS,16/12/2017
"7,066,472",CORE,18/12/2017
"2,433,149",UNGORO,20/12/2017
"771,576",KARA,29/12/2017
"8,360,796",CORE,7/01/2018
"2,424,897",GANGS,8/01/2018
"3,382,426",ICECROWN,9/01/2018
"683,360",OG,12/01/2018
"3,607,040",ICECROWN,14/01/2018
"2,402,888",UNGORO,16/01/2018
"608,592",HERO_SKINS,17/01/2018
"2,688,500",ICECROWN,18/01/2018
"843,524",KARA,20/01/2018
"910,963",KARA,21/01/2018
"7,136,129",CORE,22/01/2018
"670,133",HERO_SKINS,24/01/2018
"858,864",KARA,2/02/2018
"2,601,626",UNGORO,2/02/2018
18,LOE,3/02/2018
"8,715,489",CORE,7/02/2018
"1,037,549",KARA,7/02/2018
"2,878,055",GANGS,10/02/2018
"3,389,258",UNGORO,11/02/2018
"4,443,724",EXPERT1,14/02/2018
"3,917,078",LOOTAPALOOZA,14/02/2018
"704,640",HERO_SKINS,17/02/2018
"2,609,103",ICECROWN,17/02/2018
"1,862,530",GANGS,23/02/2018
"717,678",CORE,1/03/2018
"4,093,697",CORE,2/03/2018
"3,925,334",EXPERT1,3/03/2018
"3,060,414",EXPERT1,8/03/2018
15,TB,11/03/2018
"684,771",KARA,12/03/2018
"757,895",KARA,18/03/2018
"5,429,081",CORE,19/03/2018
"694,198",KARA,19/03/2018
"1,688,453",GANGS,25/03/2018
"3,095,752",EXPERT1,28/03/2018
"749,310",OG,28/03/2018
"1,846,313",GANGS,31/03/2018
"2,409,968",UNGORO,2/04/2018
"6,278,606",CORE,3/04/2018
"743,220",KARA,4/04/2018
"1,648,358",GANGS,11/04/2018
"10,716,819",EXPERT1,13/04/2018
"2,394",OG,13/04/2018
"3,149,783",HERO_SKINS,15/04/2018
"1,602,696",TEMP1,18/04/2018
"2,297,205",HERO_SKINS,20/04/2018
"1,933",OG,21/04/2018
"6,573,964",LOOTAPALOOZA,21/04/2018
"2,469,004",HERO_SKINS,22/04/2018
"4,717,539",ICECROWN,22/04/2018
"2,614,464",GILNEAS,25/04/2018
"737,342",TEMP1,30/04/2018
"4,037,011",UNGORO,30/04/2018
"534,914",UNGORO,1/05/2018
6,GVG,10/05/2017
3,LOE,18/06/2017
5,TEMP1,6/07/2017
3,NAXX,28/07/2017
3,FP2,20/10/2017
7,TEMP1,31/10/2017
9,TEMP1,13/11/2017
4,TEMP1,20/11/2017
8,HOF,3/02/2018
15,TEMP1,1/03/2018
8,TEMP1,2/03/2018
40,NAXX,2/04/2017
3,TEMP1,18/06/2017
1,TEMP1,5/08/2017
19,NAXX,8/08/2017
5,LOE,5/10/2017
8,GVG,31/10/2017
8,GVG,25/12/2017
21,GVG,22/01/2018
9,FP2,8/02/2018
15,TEMP1,20/02/2018
1,LOE,6/03/2018
4,NAXX,5/06/2017
3,HOF,18/06/2017
4,GVG,18/06/2017
4,NAXX,11/07/2017
2,TEMP1,6/03/2018
11,LOE,15/04/2017
8,GVG,25/05/2017
4,HOF,27/07/2017
1,TEMP1,24/08/2017
15,FP2,4/03/2018
3,NAXX,14/05/2017
2,LOE,27/07/2017
4,TEMP1,8/07/2017
4,GVG,27/05/2017
4,FP2,10/03/2018
1,LOE,28/05/2017
3,TEMP1,25/05/2017
2,GVG,14/11/2017
3,HOF,20/01/2018
2,HOF,6/03/2018
2,HOF,25/05/2017
3,LOE,25/06/2017
2,HOF,10/05/2017
1,FP2,22/07/2017
3,FP2,29/01/2018
2,HOF,24/06/2017
1,LOE,11/12/2017
1,TEMP1,28/05/2017
1,LOE,20/01/2018
"455,353",FP2,5/04/2017
"16,151,278",CORE,9/04/2017
"2,015,867",OG,13/04/2017
"7,807,809",EXPERT1,15/04/2017
"36,897",INVALID,17/04/2017
"5,876,025",EXPERT1,24/04/2017
"9,781,859",CORE,25/04/2017
"616,100",HERO_SKINS,27/04/2017
"7,816,080",CORE,28/04/2017
"177,554",INVALID,28/04/2017
"5,736,995",UNGORO,28/04/2017
"2,660,689",GANGS,30/04/2017
"1,467,142",KARA,3/05/2017
"201,508",INVALID,6/05/2017
"1,397,178",OG,10/05/2017
"2,266,639",GANGS,16/05/2017
"129,625",INVALID,18/05/2017
"7,833,932",CORE,21/05/2017
"1,371,820",KARA,21/05/2017
"1,190,450",OG,25/05/2017
"4,080,299",EXPERT1,27/05/2017
"1,272,392",OG,27/05/2017
"2,140,328",GANGS,30/05/2017
"2,245,399",GANGS,3/06/2017
"1,051,018",OG,8/06/2017
"1,114,752",KARA,11/06/2017
"3,985,726",UNGORO,12/06/2017
"113,861",INVALID,15/06/2017
"3,377,287",UNGORO,15/06/2017
8,GVG,17/06/2017
"101,059",INVALID,23/06/2017
"374,068",HERO_SKINS,26/06/2017
"1,003,234",OG,6/07/2017
3,TEMP1,10/07/2017
3,NAXX,14/07/2017
"6,131,970",CORE,17/07/2017
"3,783,494",UNGORO,18/07/2017
1,NAXX,21/07/2017
"5,497,400",CORE,22/07/2017
"1,867,587",GANGS,26/07/2017
"2,539,826",EXPERT1,27/07/2017
"847,410",OG,27/07/2017
"870,427",KARA,28/07/2017
"131,545",INVALID,29/07/2017
8,TEMP1,29/07/2017
"3,016,986",EXPERT1,3/08/2017
"7,155,910",CORE,9/08/2017
"14,574,930",CORE,13/08/2017
"12,704,655",CORE,15/08/2017
"4,729,637",ICECROWN,18/08/2017
"200,767",INVALID,25/08/2017
"2,940,229",UNGORO,25/08/2017
"620,641",HERO_SKINS,29/08/2017
2,LOE,3/09/2017
"1,504,076",OG,8/09/2017
"4,905,907",ICECROWN,9/09/2017
"5,157,029",EXPERT1,12/09/2017
"516,719",HERO_SKINS,14/09/2017
"3,910,975",UNGORO,16/09/2017
"316,638",INVALID,18/09/2017
"4,690,639",UNGORO,23/09/2017
"3,961,724",ICECROWN,29/09/2017
"8,706,511",CORE,8/10/2017
11,TEMP1,8/10/2017
"5,837,953",CORE,11/10/2017
"2,425,552",GANGS,20/10/2017
"1,007,374",KARA,22/10/2017
"3,072,327",EXPERT1,24/10/2017
"3,319,029",EXPERT1,27/10/2017
"6,268,760",CORE,29/10/2017
"888,682",KARA,29/10/2017
"716,661",OG,31/10/2017
"5,542,424",CORE,2/11/2017
"128,723",INVALID,2/11/2017
"2,754,453",UNGORO,2/11/2017
"168,456",INVALID,5/11/2017
"3,904,164",EXPERT1,14/11/2017
"912,313",OG,14/11/2017
"929,831",KARA,19/11/2017
311,TB,23/11/2017
"1,868,455",GANGS,24/11/2017
176,TB,26/11/2017
"566,659",HERO_SKINS,29/11/2017
"6,976,671",CORE,2/12/2017
"35,427",LOOTAPALOOZA,4/12/2017
7,FP2,5/12/2017
