player_class,card_name,dbfid,times_played,wins
HUNTER,Play Dead,42652,22172,11868
MAGE,Kabal Courier,40496,22141,10417
DRUID,Cobalt Scalebane,42442,21826,10639
ROGUE,Jade Swarmer,40697,21701,9412
SHAMAN,Hot Spring Guardian,41479,21621,8758
WARRIOR,Forge of Souls,42998,21511,9676
MAGE,Loot Hoarder,251,21457,9321
DRUID,Druid of the Claw,692,21340,8925
MAGE,Steam Surger,41154,21261,10273
ROGUE,Undercity Huckster,39026,21254,8120
WARRIOR,Gemstudded Golem,46027,21141,8868
DRUID,Bittertide Hydra,41263,21049,9416
WARLOCK,Fungalmancer,45265,21040,11594
WARRIOR,I Know a Guy,40839,21022,8959
WARLOCK,Barnes,39941,20822,11140
ROGUE,Zola the Gorgon,46403,20713,11323
WARLOCK,Earthen Ring Farseer,1651,20683,9886
MAGE,Ghastly Conjurer,42718,20608,9727
ROGUE,"Shaku, the Collector",40905,20587,9443
PRIEST,Psionic Probe,45979,20541,8046
PALADIN,Acolyte of Pain,1659,20533,9434
PRIEST,Siphon Life,43181,20220,11626
ROGUE,Mistress of Mixtures,41566,20198,8318
WARRIOR,Kor'kron Elite,28,20153,8451
HUNTER,Golakka Crawler,41316,20102,8512
PRIEST,Mind Vision,1099,20101,7385
SHAMAN,Blazecaller,41928,20051,10366
DRUID,Arcane Giant,39426,20009,11286
WARLOCK,Dire Wolf Alpha,985,19984,9454
WARRIOR,Skulking Geist,42784,19979,10042
PRIEST,Mistress of Mixtures,41566,19731,8789
HUNTER,On the Hunt,38377,19684,9326
PRIEST,Shifting Shade,39034,19661,8765
ROGUE,Bonemare,42790,19497,9110
MAGE,Arcane Giant,39426,19430,10761
PRIEST,Mirage Caller,41155,19077,9121
WARRIOR,N'Zoth's First Mate,38914,18960,9378
WARLOCK,Hooked Reaver,43133,18861,7069
WARLOCK,Gluttonous Ooze,41683,18626,10199
PALADIN,Adaptation,41944,18590,7614
HUNTER,Arcane Shot,877,18542,7469
WARLOCK,Kazakus,40408,18523,9317
HUNTER,Crushing Walls,46450,18337,7027
PALADIN,Corpsetaker,46102,18279,8341
DRUID,Astral Tiger,43304,18213,7845
PRIEST,"Amara, Warden of Hope",41950,18166,9861
ROGUE,Jade Shuriken,40698,18100,7515
PRIEST,Primordial Glyph,41496,18078,9371
PRIEST,Icy Touch,42944,17958,9702
DRUID,Violet Teacher,1029,17946,9321
WARRIOR,Tar Creeper,41418,17933,7650
PRIEST,Holy Fire,1365,17913,9529
