"games_played_with_card_in_deck","rank_category","card_name"
2460,"GrindTo15","Embrace the Shadow"
11284,"GrindTo10","Grievous Bite"
3892,"other","Obsidian Shard"
8743,"GrindTo5","C'Thun's Chosen"
10081,"GrindTo15","Air Elemental"
31513,"GrindTo10","Cat Trick"
7658,"other","Divine Strength"
3796,"GrindTo15","Ironforge Portal"
33422,"GrindTo5","Mind Control"
48780,"Rank10","Free From Amber"
2721,"other","Ancestral Healing"
4223,"GrindTo10","Hobart Grapplehammer"
5400,"GrindTo5","Ethereal Peddler"
1853,"Rank15","Big-Time Racketeer"
31353,"GrindTo5","Greater Healing Potion"
2569,"Rank10","Bright-Eyed Scout"
2376,"Rank10","Frostwolf Warlord"
1070,"Rank10","Claw"
693,"Rank15","Bestial Wrath"
138,"GrindTo5","Grimestreet Smuggler"
1222,"GrindTo10","Healing Touch"
2243,"Rank5","Avian Watcher"
21988,"Legend","Archmage Antonidas"
398,"Rank5","Fool's Bane"
129,"GrindToLegend","Envenom Weapon"
3634,"GrindToLegend","Mortal Coil"
717,"Rank15","Felguard"
2460,"Rank5","Inner Rage"
1284,"Legend","Tortollan Forager"
567,"Rank5","Forbidden Shaping"
1108,"Legend","White Eyes"
480,"Legend","Snake Trap"
301,"GrindTo5","Power Word: Tentacles"
174,"GrindTo15","Nat, the Darkfisher"
129,"Legend","Blessing of Might"
459,"Legend","Wolfrider"
180625,"Rank15","Ravaging Ghoul"
85600,"other","Gadgetzan Ferryman"
265072,"Rank15","Scavenging Hyena"
181801,"Rank15","Igneous Elemental"
563960,"GrindTo5","Ice Block"
171758,"Rank10","Doomsayer"
330964,"GrindTo10","Feral Rage"
221319,"GrindTo5","Ravaging Ghoul"
39208,"Legend","Eater of Secrets"
83378,"GrindTo5","Druid of the Claw"
3309,"Rank10","Ancient Shieldbearer"
92747,"Rank5","Drakonid Operative"
7150,"other","Claw"
195051,"Rank5","Jade Spirit"
7827,"other","Shadow Madness"
17077,"GrindToLegend","Tol'vir Stoneshaper"
12239,"Rank15","Tidal Surge"
62996,"GrindTo5","Ysera"
10639,"Rank15","Blowgill Sniper"
22019,"Rank5","Burgly Bully"
10606,"other","Cruel Taskmaster"
13712,"other","Lightspawn"
13657,"other","Frostwolf Warlord"
88238,"Rank5","Dire Wolf Alpha"
20265,"Rank15","Sunfury Protector"
35030,"GrindToLegend","Servant of Kalimos"
602,"Rank10","Blood Imp"
10993,"GrindTo15","Stolen Goods"
1867,"GrindTo15","Stormwind Knight"
4738,"GrindTo15","Meanstreet Marshal"
12710,"Rank10","Raza the Chained"
12320,"Rank10","Mana Bind"
5373,"Rank15","Silvermoon Portal"
13281,"Rank10","Hellfire"
2662,"Rank10","Small-Time Buccaneer"
1810,"Rank10","Soul of the Forest"
1248,"other","Nightbane Templar"
712,"GrindTo15","Nozdormu"
10878,"GrindTo15","Lightwarden"
864,"Rank10","The Voraxx"
39822,"GrindToLegend","Free From Amber"
4593,"Rank5","Gorehowl"
790,"Rank15","Nightblade"
2013,"Rank5","Arcane Missiles"
2014,"GrindTo5","Baron Geddon"
690,"GrindTo15","Charge"
3748,"Legend","Acidic Swamp Ooze"
353,"Legend","Tyrantus"
257,"GrindTo5","Daring Reporter"
361,"Rank15","Sergeant Sally"
344,"Legend","Sinister Strike"
117,"GrindTo5","Gadgetzan Socialite"
43887,"GrindTo15","C'Thun"
250403,"GrindTo5","Arcanite Reaper"
92490,"GrindTo10","Spellbreaker"
115246,"Rank10","Bloodsail Cultist"
76282,"other","Kabal Courier"
52589,"Rank15","Archmage Antonidas"
35690,"other","Grimscale Oracle"
13216,"other","Dinomancy"
157656,"GrindTo5","Bloodhoof Brave"
87354,"other","Fan of Knives"
5123,"GrindTo15","Ozruk"
51279,"other","Blizzard"
42030,"Rank10","Kabal Lackey"
34775,"other","Rat Pack"
390962,"Rank10","Arcane Intellect"
64936,"other","Enchanted Raven"
412421,"GrindTo5","Murloc Warleader"
58615,"GrindTo10","Cabal Shadow Priest"
