player_class,card_name,times_played,wins,win_pc
DRUID,Sunfury Protector,1089,483,0.4435261708
ROGUE,Sparring Partner,1088,626,0.5753676471
WARLOCK,Pit Lord,1087,520,0.4783808648
WARLOCK,Fearsome Doomguard,1087,558,0.5133394664
WARLOCK,Stampeding Kodo,1087,550,0.5059797608
PALADIN,Bloodsail Raider,1084,416,0.3837638376
ROGUE,Fierce Monkey,1082,543,0.5018484288
HUNTER,Mistress of Mixtures,1082,398,0.3678373383
PRIEST,Execute,1080,642,0.5944444444
ROGUE,Bash,1071,578,0.5396825397
ROGUE,Public Defender,1071,584,0.5452847806
PALADIN,Twilight Geomancer,1070,398,0.3719626168
ROGUE,Gadgetzan Ferryman,1067,489,0.458294283
WARLOCK,Harvest Golem,1066,461,0.4324577861
PRIEST,Huge Toad,1064,516,0.484962406
SHAMAN,Bloodsail Raider,1062,487,0.4585687382
SHAMAN,"Y'Shaarj, Rage Unbound",1062,624,0.5875706215
WARLOCK,Potion of Polymorph,1057,566,0.5354777673
SHAMAN,Flame Juggler,1057,428,0.4049195837
PRIEST,Small-Time Buccaneer,1057,499,0.4720908231
DRUID,Excavated Evil,1055,492,0.4663507109
ROGUE,Freezing Potion,1052,462,0.4391634981
MAGE,Holy Nova,1051,582,0.5537583254
HUNTER,Misdirection,1051,360,0.3425309229
